char,name,replacement,codepoint,mufidecode
#r#« ,Repl extra space before LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,"""",00AB,
#r# »,Repl extra space before RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,"""",00BB,
#r# ^,Repl space before caret,^,005E,
#r#\.^,Repl period before caret,^,005E,
1,DIGIT ONE,1,0031,1
2,DIGIT TWO,2,0032,2
3,DIGIT THREE,3,0033,3
4,DIGIT FOUR,4,0034,4
5,DIGIT FIVE,5,0035,5
6,DIGIT SIX,6,0036,6
7,DIGIT SEVEN,7,0037,7
8,DIGIT EIGHT,8,0038,8
9,DIGIT NINE,9,0039,9
0,DIGIT ZERO,0,0030,0
ã,LATIN SMALL LETTER A WITH TILDE,ã,00E3,a
a,LATIN SMALL LETTER A,a,0061,a
ẫ,LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE,ẫ,1EAB,a
â,LATIN SMALL LETTER A WITH CIRCUMFLEX,â,00E2,a
à,LATIN SMALL LETTER A WITH GRAVE,à,00E0,a
A,LATIN CAPITAL LETTER A,A,0041,A
Ã,LATIN CAPITAL LETTER A WITH TILDE,Ã,00C3,A
b,LATIN SMALL LETTER B,b,0062,b
B,LATIN CAPITAL LETTER B,B,0042,B
ç,LATIN SMALL LETTER C WITH CEDILLA,ç,00E7,c
c,LATIN SMALL LETTER C,c,0063,c
C,LATIN CAPITAL LETTER C,C,0043,C
С,CYRILLIC CAPITAL LETTER ES,C,0421,S
đ,LATIN SMALL LETTER D WITH STROKE,d,0111,d
d,LATIN SMALL LETTER D,d,0064,d
D,LATIN CAPITAL LETTER D,D,0044,D
e,LATIN SMALL LETTER E,e,0065,e
ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,ê,00EA,e
ë,LATIN SMALL LETTER E WITH DIAERESIS,ë,00EB,e
è,LATIN SMALL LETTER E WITH GRAVE,è,00E8,e
ẽ,LATIN SMALL LETTER E WITH TILDE,ẽ,1EBD,e
é,LATIN SMALL LETTER E WITH ACUTE,é,00E9,e
ễ,LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE,ễ,1EC5,e
É,LATIN CAPITAL LETTER E WITH ACUTE,É,00C9,E
E,LATIN CAPITAL LETTER E,E,0045,E
Ẽ,LATIN CAPITAL LETTER E WITH TILDE,Ẽ,1EBC,E
f,LATIN SMALL LETTER F,f,0066,f
F,LATIN CAPITAL LETTER F,F,0046,F
g,LATIN SMALL LETTER G,g,0067,g
G,LATIN CAPITAL LETTER G,G,0047,G
h,LATIN SMALL LETTER H,h,0068,h
H,LATIN CAPITAL LETTER H,H,0048,H
ï,LATIN SMALL LETTER I WITH DIAERESIS,ï,00EF,i
î,LATIN SMALL LETTER I WITH CIRCUMFLEX,î,00EE,i
i,LATIN SMALL LETTER I,i,0069,i
ĩ,LATIN SMALL LETTER I WITH TILDE,ĩ,0129,i
Ĩ,LATIN CAPITAL LETTER I WITH TILDE,Ĩ,0128,I
I,LATIN CAPITAL LETTER I,I,0049,I
j,LATIN SMALL LETTER J,j,006A,j
J,LATIN CAPITAL LETTER J,J,004A,J
k,LATIN SMALL LETTER K,k,006B,k
K,LATIN CAPITAL LETTER K,K,004B,K
l,LATIN SMALL LETTER L,l,006C,l
L,LATIN CAPITAL LETTER L,L,004C,L
m,LATIN SMALL LETTER M,m,006D,m
M,LATIN CAPITAL LETTER M,M,004D,M
ñ,LATIN SMALL LETTER N WITH TILDE,ñ,00F1,n
Ñ,LATIN CAPITAL LETTER N WITH TILDE,Ñ,00D1,N
n,LATIN SMALL LETTER N,n,006E,n
N,LATIN CAPITAL LETTER N,N,004E,N
o,LATIN SMALL LETTER O,o,006F,o
õ,LATIN SMALL LETTER O WITH TILDE,õ,00F5,o
ô,LATIN SMALL LETTER O WITH CIRCUMFLEX,ô,00F4,o
ỗ,LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE,ỗ,1ED7,o
Õ,LATIN CAPITAL LETTER O WITH TILDE,Õ,00D5,O
O,LATIN CAPITAL LETTER O,O,004F,O
Ô,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,Ô,00D4,O
Ỗ,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE,Ỗ,1ED6,O
ꝓ,LATIN SMALL LETTER P WITH FLOURISH,p,A753,p
p,LATIN SMALL LETTER P,p,0070,p
ꝑ,LATIN SMALL LETTER P WITH STROKE THROUGH DESCENDER,ꝑ,A751,p
P,LATIN CAPITAL LETTER P,P,0050,P
q,LATIN SMALL LETTER Q,q,0071,q
ꝙ,LATIN SMALL LETTER Q WITH DIAGONAL STROKE,q,A759,q
Q,LATIN CAPITAL LETTER Q,Q,0051,Q
r,LATIN SMALL LETTER R,r,0072,r
R,LATIN CAPITAL LETTER R,R,0052,R
s,LATIN SMALL LETTER S,s,0073,s
S,LATIN CAPITAL LETTER S,S,0053,S
ſ,LATIN SMALL LETTER LONG S,s,017F,s
ẜ,LATIN SMALL LETTER LONG S WITH DIAGONAL STROKE,s,1E9C,s
t,LATIN SMALL LETTER T,t,0074,t
T,LATIN CAPITAL LETTER T,T,0054,T
ù,LATIN SMALL LETTER U WITH GRAVE,ù,00F9,u
û,LATIN SMALL LETTER U WITH CIRCUMFLEX,û,00FB,u
ü,LATIN SMALL LETTER U WITH DIAERESIS,ü,00FC,u
u,LATIN SMALL LETTER U,u,0075,u
ũ,LATIN SMALL LETTER U WITH TILDE,ũ,0169,u
U,LATIN CAPITAL LETTER U,U,0055,U
Ũ,LATIN CAPITAL LETTER U WITH TILDE,Ũ,0168,U
ṽ,LATIN SMALL LETTER V WITH TILDE,ṽ,1E7D,v
v,LATIN SMALL LETTER V,v,0076,v
Ṽ,LATIN CAPITAL LETTER V WITH TILDE,Ṽ,1E7C,V
V,LATIN CAPITAL LETTER V,V,0056,V
w,LATIN SMALL LETTER W,w,0077,w
W,LATIN CAPITAL LETTER W,W,0057,W
x,LATIN SMALL LETTER X,x,0078,x
X,LATIN CAPITAL LETTER X,X,0058,X
ỹ,LATIN SMALL LETTER Y WITH TILDE,ỹ,1EF9,y
ÿ,LATIN SMALL LETTER Y WITH DIAERESIS,ÿ,00FF,y
y,LATIN SMALL LETTER Y,y,0079,y
Y,LATIN CAPITAL LETTER Y,Y,0059,Y
Ỹ,LATIN CAPITAL LETTER Y WITH TILDE,Ỹ,1EF8,Y
z,LATIN SMALL LETTER Z,z,007A,z
Z,LATIN CAPITAL LETTER Z,Z,005A,Z
œ,LATIN SMALL LIGATURE OE,oe,0153,oe
Œ,LATIN CAPITAL LIGATURE OE,OE,0152,OE
.,FULL STOP,.,002E,.
',APOSTROPHE,',0027,'
",",COMMA,",",002C,","
:,COLON,:,003A,:
],RIGHT SQUARE BRACKET,],005D,]
[,LEFT SQUARE BRACKET,[,005B,[
?,QUESTION MARK,?,003F,?
=,EQUALS SIGN,=,003D,=
/,SOLIDUS,/,002F,/
+,PLUS SIGN,+,002B,+
!,EXCLAMATION MARK,!,0021,!
₶,LIVRE TOURNOIS SIGN,lt,20B6,L
;,SEMICOLON,;,003B,;
*,ASTERISK,*,002A,*
»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,"""",00BB,
«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,"""",00AB,
"""",QUOTATION MARK,"""",0022,""""
(,LEFT PARENTHESIS,(,0028,(
),RIGHT PARENTHESIS,),0029,)
&,AMPERSAND,&,0026,&
^,CIRCUMFLEX ACCENT,^,005E,^
<,LESS-THAN SIGN,<,003C,<
>,GREATER-THAN SIGN,>,003E,>
-,HYPHEN-MINUS,-,002D,-
¬,NOT SIGN,¬,00AC,
⎀,INSERTION SYMBOL,⎀,2380,[UNKNOWN]
⁊,TIRONIAN SIGN ET,⁊,204A,et
°,DEGREE SIGN,^o,00B0,*
ͨ,COMBINING LATIN SMALL LETTER C,ͨ,0368,c
ͫ,COMBINING LATIN SMALL LETTER M,ͫ,036B,m
̄,COMBINING MACRON,,0304,
̈,COMBINING DIAERESIS,̈,0308,
́,COMBINING ACUTE ACCENT,́,0301,
̂,COMBINING CIRCUMFLEX ACCENT,̂,0302,
̃,COMBINING TILDE,̃,0303,
̾,COMBINING VERTICAL TILDE,̾,033E,
̀,COMBINING GRAVE ACCENT,̀,0300,
̶,COMBINING LONG STROKE OVERLAY,̶,0336,